"Campaign name",Gender,Reach,Impressions,Frequency,Currency,"Amount spent (INR)","Link clicks","CPC (cost per link click)","Clicks (all)","CPC (all)","CTR (all)","Adds to cart","Cost per add to cart","Checkouts initiated","Cost per checkout initiated",Purchases,"Reporting starts","Reporting ends"
,,635040,878306,1.38307193,INR,33245.34,39581,0.83993179,40048,0.83013734,4.55968649,128,259.72921875,69,481.81652174,3437,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",male,74047,108174,1.46088295,INR,5826.17707384,14772,0.39440679,14528,0.40103091,13.43021428,,,,,3086,2025-02-01,2025-08-04
"Add to Cart_28/06",male,21275,36765,1.72808461,INR,4743.57101993,1190,3.98619413,1790,2.65003968,4.86876105,80,59.29463775,55,86.24674582,5,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",male,25698,31852,1.23947389,INR,4168.36713065,1099,3.79287273,1209,3.44778092,3.79568002,15,277.89114204,,,110,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",male,73697,86247,1.17029187,INR,3255.72602652,6158,0.52869861,6080,0.53548125,7.04952056,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",male,152009,223870,1.47274175,INR,2905.2147213,7035,0.41296585,6755,0.4300836,3.01737616,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",female,78639,115955,1.47452282,INR,1428.81752178,3592,0.39777771,3400,0.42024045,2.93217196,,,,,,2025-02-01,2025-08-04
TeeFusion_Sales_Scaling,male,9545,11498,1.20460974,INR,1247.9490795,149,8.37549718,254,4.91318535,2.20907984,8,155.99363494,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",male,11437,12126,1.06024307,INR,1110.77450785,193,5.75530833,265,4.19160192,2.18538677,1,1110.77450785,,,11,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",male,7131,8204,1.15046978,INR,1021.62553503,191,5.34882479,251,4.07022126,3.05948318,2,510.81276751,,,23,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",male,101806,118920,1.16810404,INR,933.32126371,769,1.21368175,759,1.22967228,0.6382442,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,male,969,1473,1.52012384,INR,810.46,158,5.12949367,175,4.6312,11.88051595,14,57.89,8,101.3075,2,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",female,4144,5093,1.22900579,INR,760.64166494,239,3.18260111,271,2.80679581,5.32102886,1,760.64166494,,,8,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",female,20480,22005,1.07446289,INR,599.06742351,1123,0.53345274,1132,0.5292115,5.14428539,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",female,9202,13263,1.4413171,INR,593.96251952,1517,0.39153759,1511,0.39309234,11.39259594,,,,,176,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",male,29424,33032,1.12262099,INR,582.66,229,2.54436681,333,1.74972973,1.00811334,,,,,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy",male,1837,2276,1.23897659,INR,551.65668271,26,21.21756472,31,17.79537686,1.36203866,,,4,137.91417068,3,2025-02-01,2025-08-04
"Add to Cart_28/06",female,2168,3261,1.50415129,INR,404.00607823,147,2.74834067,205,1.97076136,6.28641521,2,202.00303911,1,404.00607823,,2025-02-01,2025-08-04
TeeFusion_Sales_Scaling,female,1492,1703,1.14142091,INR,351.31885943,25,14.05275438,54,6.5059048,3.17087493,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",female,7752,9191,1.18562951,INR,336.52,82,4.10390244,122,2.75836066,1.32738549,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",female,2566,2751,1.07209665,INR,328.49982964,62,5.29838435,84,3.91071226,3.05343511,,,,,11,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",female,19747,22208,1.12462653,INR,296.45851799,240,1.23524382,234,1.26691674,1.05367435,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",female,2016,2295,1.13839286,INR,220.79416346,46,4.79987312,55,4.01443934,2.39651416,,,,,1,2025-02-01,2025-08-04
"New Sales Ad_02/08/25",male,769,879,1.14304291,INR,201.60590523,130,1.55081466,130,1.55081466,14.78953356,5,40.32118105,1,201.60590523,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",male,913,1005,1.1007667,INR,198.76907561,174,1.14235101,174,1.14235101,17.31343284,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,female,114,169,1.48245614,INR,88.66,32,2.770625,35,2.53314286,20.71005917,,,,,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy",female,258,322,1.24806202,INR,58.28372778,1,58.28372778,3,19.42790926,0.93167702,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",female,161,174,1.08074534,INR,46.68754835,30,1.55625161,31,1.50604995,17.81609195,,,,,,2025-02-01,2025-08-04
"New Sales Ad_02/08/25",female,121,136,1.12396694,INR,44.64073409,27,1.65336052,28,1.59431193,20.58823529,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",unknown,1478,1793,1.21312585,INR,39.25775693,87,0.45123859,85,0.46185596,4.74065811,,,,,,2025-02-01,2025-08-04
"Add to Cart_28/06",unknown,112,207,1.84821429,INR,25.44290185,11,2.31299108,15,1.69619346,7.24637681,,,,,,2025-02-01,2025-08-04
TeeFusion_Sales_Scaling,unknown,24,32,1.33333333,INR,12.30206107,1,12.30206107,1,12.30206107,3.125,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",male,270,304,1.12592593,INR,11.42,6,1.90333333,8,1.4275,2.63157895,,,,,,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",unknown,48,79,1.64583333,INR,9.01120441,5,1.80224088,6,1.5018674,7.59493671,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",unknown,144,232,1.61111111,INR,8.88654997,22,0.40393409,21,0.42316905,9.05172414,,,,,,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",unknown,128,138,1.078125,INR,5.68040664,6,0.94673444,6,0.94673444,4.34782609,,,,,,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",unknown,92,94,1.02173913,INR,4.70030151,,,0,0,0,,,,,1,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",female,69,70,1.01449275,INR,3.12,1,3.12,1,3.12,1.42857143,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",unknown,144,161,1.11805556,INR,2.45,1,2.45,1,2.45,0.62111801,,,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",unknown,60,63,1.05,INR,2.32566251,1,2.32566251,1,2.32566251,1.58730159,,,,,,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",unknown,64,234,3.65625,INR,1.68021831,1,1.68021831,1,1.68021831,0.42735043,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,unknown,4,5,1.25,INR,1.1,2,0.55,2,0.55,40,,,,,,2025-02-01,2025-08-04
"New Sales Ad_02/08/25",unknown,1,2,2,INR,0.93336067,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy",unknown,29,41,1.4137931,INR,0.65958951,,,0,0,0,,,,,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",unknown,3,3,1,INR,0.12337604,1,0.12337604,1,0.12337604,33.33333333,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",unknown,1,1,1,INR,0.01,,,0,0,0,,,,,,2025-02-01,2025-08-04
