"Campaign name",Reach,Impressions,Frequency,Currency,"Amount spent (INR)","Link clicks","CPC (cost per link click)","Clicks (all)","CPC (all)","CTR (all)","Adds to cart","Cost per add to cart","Checkouts initiated","Cost per checkout initiated",Purchases,"Reporting starts","Reporting ends"
,635040,878306,1.38307193,INR,33245.34,39581,0.83993179,40048,0.83013734,4.55968649,128,259.72921875,69,481.81652174,3437,2025-02-01,2025-08-04
"Traffic_Website Visit_28/06/25",81586,121575,1.49014537,INR,6425.82,16295,0.39434305,16045,0.40048738,13.19761464,,,,,3262,2025-02-01,2025-08-04
"Add to Cart_28/06",23358,40233,1.72245055,INR,5173.02,1348,3.83755193,2010,2.57364179,4.99589889,82,63.08560976,56,92.37535714,5,2025-02-01,2025-08-04
"Add To Cart_Father's Day_11/06",29478,37024,1.25598752,INR,4938.02,1343,3.67685778,1486,3.32302826,4.01361279,16,308.62625,,,118,2025-02-01,2025-08-04
"Traffic Campaign_Flash Sale2_05/05/2025",231898,341618,1.47313905,INR,4373.29,10714,0.40818462,10240,0.4270791,2.99750013,,,,,,2025-02-01,2025-08-04
"Traffic Campaign_Model_14/05/2025",98413,108484,1.10233404,INR,3863.68,7303,0.52905381,7233,0.53417393,6.66734265,,,,,,2025-02-01,2025-08-04
TeeFusion_Sales_Scaling,10812,13233,1.22391787,INR,1611.57,175,9.20897143,309,5.21543689,2.33507141,8,201.44625,,,,2025-02-01,2025-08-04
"Updated Sales Campaign_24/06",13751,14940,1.08646644,INR,1441.6,256,5.63125,350,4.11885714,2.34270415,1,1441.6,,,22,2025-02-01,2025-08-04
"Add To Cart_Normal_11/06",9399,10593,1.12703479,INR,1247.12,237,5.2621097,306,4.07555556,2.88870008,2,623.56,,,25,2025-02-01,2025-08-04
"Instagram post: Flex your fandom and win a...",121576,141362,1.16274594,INR,1231.46,1010,1.21926733,994,1.23889336,0.70315926,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy",37154,42384,1.14076546,INR,921.63,312,2.95394231,456,2.02111842,1.07587769,,,,,,2025-02-01,2025-08-04
Influencer_Viti_Sales_05/07,1054,1647,1.5626186,INR,900.22,192,4.68864583,212,4.24632075,12.87188828,14,64.30142857,8,112.5275,2,2025-02-01,2025-08-04
"Campaign 1 - OS and CT - JAN 27 - Advantage+ shopping campaign - Copy",2157,2639,1.22345851,INR,610.6,27,22.61481481,34,17.95882353,1.28836681,,,4,152.65,3,2025-02-01,2025-08-04
"New Sales Ad_02/08/25",912,1017,1.11513158,INR,247.18,157,1.5743949,158,1.56443038,15.53588987,5,49.436,1,247.18,,2025-02-01,2025-08-04
"Raksha Badhan_Sales",1087,1182,1.0873965,INR,245.58,205,1.19795122,206,1.19213592,17.42808799,,,,,,2025-02-01,2025-08-04
"Flash Sales_Sales Campaign_22/05/2025 – Copy 2",338,375,1.10946746,INR,14.55,7,2.07857143,9,1.61666667,2.4,,,,,,2025-02-01,2025-08-04
